"isqno","terrano","terra1","terra2","terra3"
1,1,"R","B","D"
2,1,"R","M",
3,1,"R","M",
4,1,"R","M",
5,1,"R","M",
6,1,"R","M",
7,1,"R","M",
8,1,"G","M",
9,1,"R","M",
10,1,"R","M",
11,1,"R","M",
12,1,"R","M",
13,1,"R","M",
14,1,"R","M",
15,1,"G","M",
16,1,"G","M",
17,1,"R","M",
18,1,"R","M",
19,1,"R","M",
20,1,"R","M",
21,1,"R","M",
22,1,"R","M",
23,1,"R","M",
24,1,"R","M",
25,1,"R","M",
26,1,"R","M",
27,1,"R","M",
28,1,"R","M",
29,1,,,"U"
30,1,"R","B","D"
31,1,"R","M",
31,2,"F","M",
32,1,"R","M",
33,1,"R","M",
34,1,"R","M",
35,1,"R","M",
36,1,"R","M",
37,1,"R","M",
38,1,"R","M",
39,1,"F","M",
40,1,"G","M",
41,1,"R","M",
42,1,"R","M",
43,1,"R","M",
44,1,"R","M",
45,1,"G","M",
46,1,"R","M",
47,1,"R","M",
48,1,"F","M",
49,1,"R","M",
50,1,"R","M",
51,1,"R","M",
52,1,"R","M",
53,1,"R","M",
54,1,"R","M",
55,1,"R","M",
56,1,"R","M",
57,1,"R","M",
58,1,"R","M",
59,1,"R","M",
60,1,"R","M",
61,1,"R","M",
62,1,"R","M",
63,1,"R","M",
64,1,"R","M",
65,1,"R","M",
66,1,"R","M",
67,1,"R","M",
68,1,"R","M",
69,1,"R","M",
70,1,"R","M",
71,1,"F","M",
72,1,"R","M",
73,1,"R","M",
74,1,"R","M",
75,1,"R","M",
76,1,"R","B",
77,1,"R","M",
78,1,"R","M",
79,1,"R","M",
80,1,"R","M",
81,1,"R","M",
81,2,"R","W",
82,1,"R","M",
83,1,,,"U"
84,1,"R","M",
85,1,,,"U"
86,1,"R","M",
87,1,"R","M",
88,1,,,"U"
89,1,"R","M",
90,1,"R","M",
91,1,"R","M",
92,1,"R","M",
93,1,"R","W",
94,1,"R","M",
95,1,"F","M",
96,1,"R","M",
97,1,"R","M",
98,1,"R","M",
99,1,"R","M",
100,1,"R","M",
101,1,"R","M",
102,1,"R","M",
103,1,"R","M",
104,1,"R","M",
105,1,"R","M",
106,1,"R","M",
107,1,"G","M",
107,2,"R","M",
108,1,"F","D",
109,1,"G","W",
109,2,"R","W",
110,1,"R","B",
111,1,"G","M",
111,2,"R","M",
112,1,"R","M",
112,2,"G","M",
113,1,"R","M",
113,2,"G","M",
114,1,"F","W",
115,1,"R","M",
116,1,"R","W",
116,2,"R","M",
117,1,"R","M",
118,1,"R","M",
119,1,"R","M",
120,1,"R","M",
121,1,"R","M",
122,1,"R","M",
123,1,"R","M",
124,1,"R","M",
124,2,"G","M",
125,1,,,"U"
125,2,"R","M",
126,1,"R","M",
126,2,"G","M",
127,1,"R","M",
128,1,"R","M",
128,2,"G","M",
129,1,"G","B",
130,1,,,"U"
130,2,"R","M",
131,1,"R","M",
132,1,"R","M",
133,1,"R","M",
134,1,"R","M",
135,1,"R","M",
136,1,"R","M",
137,1,"R","M",
138,1,"R","M",
139,1,"R","M",
140,1,"R","M",
141,1,"R","M",
142,1,"R","M",
143,1,"R","M",
144,1,"R","M",
145,1,"R","M",
146,1,"F","W",
147,1,"R","M",
148,1,"R","M",
149,1,"F","M",
150,1,"R","M",
151,1,"R","M",
152,1,"G","M",
153,1,"G","M",
154,1,"F","M",
155,1,"R","M",
156,1,"F","M",
156,2,"R","M",
157,1,"F","B",
158,1,"F","M",
159,1,"G","B",
160,1,"G","M",
161,1,"G","B",
162,1,"F","B",
163,1,"R","M",
164,1,"G","M",
165,1,"R","B",
166,1,"R","B",
167,1,"F","B",
168,1,"R","M",
169,1,"R","M",
170,1,"R","M",
170,2,"G","M",
171,1,"R","M",
172,1,"R","M",
173,1,"F","M",
174,1,"R","M",
175,1,"R","M",
176,1,"R","M",
177,1,"R","M",
178,1,"R","M",
179,1,"R","M",
180,1,"R","M",
181,1,"R","M",
182,1,"R","M",
183,1,"R","M",
184,1,"R","M",
185,1,"R","M",
186,1,"R","M",
187,1,"R","M",
187,2,"G","M",
