"isqno","nam","co","str","code","intst","rerp","cas","finst","cav","tank","lt","mbt","arty","fly","ctank","carty","cfly","pri1","pri2","pri3","sec1","sec2","sec3","reso1","reso2","reso3","strpl","strmi","caspl","casmi","ach","attacker","surp","countries"
1,"SP NETHERLANDS ARMY","ALBERT OF AUSTRIA",11500,"SP NETHERLANDS ARMY",11500,0,4000,7500,1500,0,0,0,8,0,0,8,0,"FF",,,,,,"RR","WD",,0,-5,0,-25,3,TRUE,"SP NETHERLANDS ARMY","Spain"
2,"IMP & HOLY LEAGUE ARMY","BUCQUOI",40000,"IMP & HOLY LEAGUE ARMY",40000,0,400,39600,7500,0,0,0,12,0,0,0,0,"FF",,,,,,"BB","PS",,0,-50,10,-10,8,TRUE,"IMP & HOLY LEAGUE ARMY","Holy Roman Empire"
3,"HOLY LEAGUE & SP ARMY","TILLY & CORDOVA",20000,"HOLY LEAGUE & SP ARMY",20000,0,5000,15000,4000,0,0,0,8,0,0,0,0,"FF",,,,,,"BB","PS",,0,-10,0,-90,7,TRUE,"HOLY LEAGUE & SP ARMY","Holy Roman Empire|Spain"
4,"PROT UNION ARMY","MANSFIELD",8500,"PROT UNION ARMY",8500,0,3000,5500,2500,0,0,0,9,0,0,9,0,"FF",,,,,,"WL",,,29,0,33,0,3,TRUE,"PROT UNION ARMY","Protestant Union"
5,"HOLY LEAGUE ARMY","TILLY",17000,"HOLY LEAGUE ARMY",17000,0,2000,15000,7000,0,0,0,12,0,0,0,0,"FF",,,,,,"BB","PS",,6,0,25,0,7,TRUE,"HOLY LEAGUE ARMY","Holy Roman Empire"
6,"IMP & HOLY LEAGUE ARMY","TILLY",32000,"IMP & HOLY LEAGUE ARMY",32000,0,13600,18400,11000,0,0,0,26,0,0,26,0,"FF","EE","LF",,,,"PP","RR","WL",6,0,0,-12,4,TRUE,"IMP & HOLY LEAGUE ARMY","Holy Roman Empire"
7,"SW ARMY","GUSTAVUS ADOLPHUS",33000,"SW ARMY",33000,0,1000,32000,,0,0,0,70,0,0,0,0,"FF",,,,,,"SS",,,36,-24,100,0,9,TRUE,"SW ARMY","Sweden"
8,"SW ARMY","GUSTAVUS ADOLPHUS",46000,"SW ARMY",46000,0,4000,42000,16000,0,0,0,,0,0,,0,"FF",,,,,,"RR","WD",,9,0,0,-50,4,TRUE,"SW ARMY","Sweden"
9,"SW ARMY","GUSTAVUS ADOLPHUS",18996,"SW ARMY",18996,0,4000,14996,6210,0,0,0,60,0,0,,0,"FF",,,,,,"PP",,,5,-5,100,0,9,TRUE,"SW ARMY","Sweden"
10,"SW ARMY","SAXE-WEIMAR & HORN",25000,"SW ARMY",25000,0,12000,13000,10000,0,0,0,80,0,0,80,0,"EE","RF",,"FE","LF",,"RR","WL",,10,-10,75,0,3,TRUE,"SW ARMY","Sweden"
11,"SW ARMY","BANER",22000,"SW ARMY",22000,0,7000,15000,12000,0,0,0,,0,0,,0,"EE","RF",,"FF",,,"BB","PS",,0,-26,0,-53,9,TRUE,"SW ARMY","Sweden"
12,"SW ARMY","TORTENSSON",25000,"SW ARMY",25000,0,5000,20000,10000,0,0,0,70,0,0,0,0,"EE","LF",,"FF",,,"BB","PS",,0,-20,0,-20,9,TRUE,"SW ARMY","Sweden"
13,"FR ARMY","ENGHIEN",23000,"FR ARMY",23000,0,4000,19000,7000,0,0,0,12,0,0,0,0,"EE","LF",,"FF",,,"BB","PS",,0,-13,0,-100,8,TRUE,"FR ARMY","France"
14,"IMP ARMY","MERCY",22000,"IMP ARMY",22000,0,1000,21000,5000,0,0,0,,0,0,,0,"FF",,,"EE",,,"BB","PS",,0,-9,0,-50,9,TRUE,"IMP ARMY","Holy Roman Empire"
15,"FR ARMY","CONDE & TURENNE",19000,"FR ARMY",19000,0,8000,11000,8000,0,0,0,37,0,0,0,0,"FF",,,"EE","LF",,"PP","PS",,5,0,0,-25,7,TRUE,"FR ARMY","France"
16,"IMP ARMY","HATZFELD",15000,"IMP ARMY",15000,0,8500,6500,10000,0,0,0,26,0,0,26,0,"FF",,,"EE","RR",,"RR","AA",,7,0,0,-6,4,TRUE,"IMP ARMY","Holy Roman Empire"
17,"IMP ARMY","MERCY & WERTH",10000,"IMP ARMY",10000,0,700,9300,5000,0,0,0,,0,0,,0,"FF",,,,,,"BB","PS",,30,0,0,-57,9,TRUE,"IMP ARMY","Holy Roman Empire"
18,"FR ARMY","CONDE",18000,"FR ARMY",18000,0,7500,10500,5000,0,0,0,,0,0,4,0,"FF",,,"EE","RF",,"SS",,,56,-6,0,-33,7,TRUE,"FR ARMY","France"
19,"FR ARMY","CONDE",14000,"FR ARMY",14000,0,4000,10000,5000,0,0,0,,0,0,0,0,"DE",,,,,,"BB","PS",,14,0,0,-63,9,TRUE,"FR ARMY","France"
20,"ENG ROY ARMY","CHARLES I",14300,"ENG ROY ARMY",14300,0,2500,11800,3500,0,0,0,20,0,0,0,0,"FF",,,,,,"BB",,,3,-6,60,0,7,TRUE,"ENG ROY ARMY","Royalist"
21,"ENG PARL ARMY","MANCHESTER",27000,"ENG PARL ARMY",27000,0,1500,25500,9000,0,0,0,25,0,0,0,0,"FF",,,,,,"BB","PS",,0,-26,10,-10,8,TRUE,"ENG PARL ARMY","Royalist"
22,"SCOT COV ARMY","ELCHO",6800,"SCOT COV ARMY",6800,0,3000,3800,800,0,0,0,7,0,0,7,0,"FF",,,,,,"RR","WL",,9,-36,0,-33,3,TRUE,"SCOT COV ARMY","Parliamentarian"
23,"SCOT ROY ARMY","MONTROSE",4900,"SCOT ROY ARMY",4900,0,6,4894,500,0,0,0,0,0,0,0,0,"FF",,,,,,"BB","PS",,0,-8,200,0,9,TRUE,"SCOT ROY ARMY","Royalist"
24,"ENG PARL ARMY","MANCHESTER",22000,"ENG PARL ARMY",22000,0,500,21500,9500,0,0,0,,0,0,,0,"FF",,,"EE","LF",,"PP","RR",,0,-14,50,0,5,TRUE,"ENG PARL ARMY","Parliamentarian"
25,"ENG ROY ARMY","CHARLES I",9000,"ENG ROY ARMY",9000,0,6000,3000,5000,0,0,0,12,0,0,12,0,"FF",,,,,,"PP","RR","WL",13,0,17,0,4,TRUE,"ENG ROY ARMY","Royalist"
26,"ENG PARL ARMY","CROMWELL",9000,"ENG PARL ARMY",9000,0,300,8700,3000,0,0,0,,0,0,0,0,"FF","DE",,,,,"BB","PS",,0,-6,100,0,9,TRUE,"ENG PARL ARMY","English Parliament"
27,"ENG PARL ARMY","CROMWELL",11000,"ENG PARL ARMY",11000,0,30,10970,3500,0,0,0,,0,0,0,0,"EE","RF",,"FF",,,"BB","PS",,0,-5,200,-33,9,TRUE,"ENG PARL ARMY","English Parliament"
