"isqno","datetime_min","datetime_max","datetime","duration1","duration2"
1,"1600-07-02T14:30:00","1600-07-02T19:30:00","1600-07-02T17:00:00",1,0.25
2,"1620-11-08T12:00:00","1620-11-08T13:00:00","1620-11-08T12:30:00",1,0.05
3,"1622-05-06T03:30:00","1622-05-06T19:00:00","1622-05-06T11:15:00",1.4375,0.575
4,"1626-04-25T00:00:00","1626-04-26T00:00:00","1626-04-25T12:00:00",2,0.6
5,"1626-08-27T00:00:00","1626-08-28T00:00:00","1626-08-27T12:00:00",2,0.6
6,"1631-09-17T14:30:00","1631-09-17T18:30:00","1631-09-17T16:30:00",1,0.2
7,"1632-04-15T00:00:00","1632-04-17T00:00:00","1632-04-16T00:00:00",2,1.2
8,"1632-09-03T10:00:00","1632-09-04T11:00:00","1632-09-03T22:30:00",2,0.55
9,"1632-11-16T11:00:00","1632-11-16T20:00:00","1632-11-16T15:30:00",1,0.45
10,"1634-09-06T05:30:00","1634-09-06T12:30:00","1634-09-06T09:00:00",1,0.35
11,"1636-10-04T00:00:00","1636-10-05T00:00:00","1636-10-04T12:00:00",2,0.6
12,"1642-11-02T07:00:00","1642-11-02T10:00:00","1642-11-02T08:30:00",1,0.15
13,"1643-05-19T03:30:00","1643-05-19T10:00:00","1643-05-19T06:45:00",1,0.325
14,"1643-11-24T00:00:00","1643-11-25T00:00:00","1643-11-24T12:00:00",2,0.6
15,"1644-08-03T17:00:00","1644-08-10T00:00:00","1644-08-06T20:30:00",7.29166666666667,0.575
16,"1645-03-06T00:00:00","1645-03-07T00:00:00","1645-03-06T12:00:00",2,0.6
17,"1645-05-02T00:00:00","1645-05-03T00:00:00","1645-05-02T12:00:00",2,0.6
18,"1645-08-03T17:00:00","1645-08-03T20:00:00","1645-08-03T18:30:00",1,0.15
19,"1648-08-10T05:00:00","1648-08-10T11:00:00","1648-08-10T08:00:00",1.14583333333333,0.15
20,"1642-10-23T15:00:00","1642-10-23T18:00:00","1642-10-23T16:30:00",1,0.15
21,"1644-07-02T19:00:00","1644-07-02T22:00:00","1644-07-02T20:30:00",1,0.15
22,"1644-09-01T00:00:00","1644-09-02T00:00:00","1644-09-01T12:00:00",2,0.6
23,"1644-08-15T00:00:00","1644-08-16T00:00:00","1644-08-15T12:00:00",2,0.6
24,"1644-10-27T06:00:00","1644-10-27T17:00:00","1644-10-27T11:30:00",1.375,0.2
25,"1645-06-14T10:00:00","1645-06-14T13:00:00","1645-06-14T11:30:00",1,0.15
26,"1648-08-17T00:00:00","1648-08-19T00:00:00","1648-08-18T00:00:00",2,1.2
27,"1650-09-03T04:00:00","1650-09-03T06:00:00","1650-09-03T05:00:00",1,0.1
28,"1651-09-03T14:30:00","1651-09-03T18:00:00","1651-09-03T16:15:00",1,0.175
29,"1652-07-05T08:00:00","1652-07-05T14:00:00","1652-07-05T11:00:00",1,0.3
30,"1658-06-14T08:00:00","1658-06-14T12:00:00","1658-06-14T10:00:00",1,0.2
31,"1664-08-01T06:00:00","1664-08-01T14:00:00","1664-08-01T10:00:00",1,0.4
