dbpedia,isqno,origwar,war,theater,name,NAMA,belligerenta,sidea,COA,uri_coa,NAMD,belligerentd,COD,uri_cod
Battle_of_Nieuwpoort,1,NETHERLAND'S WAR OF INDEPENDENCE,Eighty Years War of 1568-1648,,NIEUPORT,SP NETHERLANDS ARMY,Spain,B,ALBERT OF AUSTRIA,http://en.wikipedia.org/wiki/Archduke_Albert_(1559-1621),DU ARMY OF THE STATES GENERAL,Dutch Republic,MAURICE OF NASSAU,http://en.wikipedia.org/wiki/Maurits_of_Nassau
Battle_of_White_Mountain,2,THIRTY YEAR'S WAR,Thirty Years' War of 1618-1648,,WHITE MOUNTAIN,IMP & HOLY LEAGUE ARMY,Holy Roman Empire,B,BUCQUOI,"http://en.wikipedia.org/wiki/Charles_Bonaventure_de_Longueval,_Count_of_Bucquoy",BOH REB ARMY,Bohemia,CHRISTIAN OF ANHALT-BERNBERG,http://en.wikipedia.org/wiki/Christian_of_Anhalt
Battle_of_Wimpfen,3,THIRTY YEAR'S WAR,Thirty Years' War of 1618-1648,,WIMPFEN,HOLY LEAGUE & SP ARMY,Holy Roman Empire|Spain,B,TILLY & CORDOVA,"http://en.wikipedia.org/wiki/Johann_Tserclaes,_Count_of_Tilly",PROT UNION ARMY,Protestant Union,BADEN-DURLACH,http://en.wikipedia.org/wiki/Georg_Friedrich_of_Baden-Durlach
Battle_of_Dessau_Bridge,4,THIRTY YEAR'S WAR,Thirty Years' War of 1618-1648,,DESSAU BRIDGE,PROT UNION ARMY,Protestant Union,A,MANSFIELD,http://en.wikipedia.org/wiki/Ernst_von_Mansfeld,IMP ARMY,Holy Roman Empire,WALLENSTEIN,http://en.wikipedia.org/wiki/Albrecht_von_Wallenstein
Battle_of_Lutter,5,THIRTY YEAR'S WAR,Thirty Years' War of 1618-1648,,LUTTER,HOLY LEAGUE ARMY,Holy Roman Empire,B,TILLY,"http://en.wikipedia.org/wiki/Johan_Tzerclaes,_Count_of_Tilly",DAN ARMY,Denmark,CHRISTIAN IV,http://en.wikipedia.org/wiki/Christian_IV_of_Denmark
Battle_of_Breitenfeld_(1631),6,THIRTY YEAR'S WAR,Thirty Years' War of 1618-1648,,BREITENFELD I,IMP & HOLY LEAGUE ARMY,Holy Roman Empire,B,TILLY,"http://en.wikipedia.org/wiki/Johan_Tzerclaes,_Count_of_Tilly",SW & SAX ARMY,Sweden,GUSTAVUS ADOLPHUS,http://en.wikipedia.org/wiki/Gustavus_Adolphus_of_Sweden
Battle_of_Rain,7,THIRTY YEAR'S WAR,Thirty Years' War of 1618-1648,,THE LECH,SW ARMY,Sweden,A,GUSTAVUS ADOLPHUS,http://en.wikipedia.org/wiki/Gustavus_Adolphus_of_Sweden,IMP ARMY,Holy Roman Empire,TILLY,"http://en.wikipedia.org/wiki/Johan_Tzerclaes,_Count_of_Tilly"
Battle_of_the_Alte_Veste,8,THIRTY YEAR'S WAR,Thirty Years' War of 1618-1648,,ALTE VESTE,SW ARMY,Sweden,A,GUSTAVUS ADOLPHUS,http://en.wikipedia.org/wiki/Gustavus_Adolphus_of_Sweden,IMP ARMY,Holy Roman Empire,WALLENSTEIN,http://en.wikipedia.org/wiki/Albrecht_von_Wallenstein
Battle_of_Lützen_(1632),9,THIRTY YEAR'S WAR,Thirty Years' War of 1618-1648,,LUETZEN,SW ARMY,Sweden,A,GUSTAVUS ADOLPHUS,http://en.wikipedia.org/wiki/Gustavus_Adolphus_of_Sweden,IMP ARMY,Holy Roman Empire,WALLENSTEIN,http://en.wikipedia.org/wiki/Albrecht_von_Wallenstein
Battle_of_Nördlingen_(1634),10,THIRTY YEAR'S WAR,Thirty Years' War of 1618-1648,,NORDLINGEN I,SW ARMY,Sweden,A,SAXE-WEIMAR & HORN,"http://en.wikipedia.org/wiki/Gustav_Horn,_Count_of_Pori http://en.wikipedia.org/wiki/Bernhard_of_Saxe-Weimar",SP & IMP ARMY,Spain|Holy Roman Empire,CARDINAL-INFANTE AND FERDINAND,"http://en.wikipedia.org/wiki/Cardinal-Infante_Ferdinand http://en.wikipedia.org/wiki/Ferdinand_III,_Holy_Roman_Emperor"
Battle_of_Wittstock,11,THIRTY YEAR'S WAR,Thirty Years' War of 1618-1648,,WITTSTOCK,SW ARMY,Sweden,A,BANER,http://en.wikipedia.org/wiki/Johan_Ban%C3%A9r,IMP & SAXON ARMY,Holy Roman Empire|Saxony,HATZFELD AND JOHN GEORGE,"http://en.wikipedia.org/wiki/John_George_I,_Elector_of_Saxony"
Battle_of_Breitenfeld_(1642),12,THIRTY YEAR'S WAR,Thirty Years' War of 1618-1648,,BREITENFELD II,SW ARMY,Sweden,A,TORTENSSON,http://en.wikipedia.org/wiki/Lennart_Torstenson,IMP ARMY,Holy Roman Empire,LEOPOLD WILLIAM,http://en.wikipedia.org/wiki/Archduke_Leopold_Wilhelm_of_Austria
Battle_of_Rocroi,13,THIRTY YEAR'S WAR,Thirty Years' War of 1618-1648,,ROCROI,FR ARMY,France,A,ENGHIEN,"http://en.wikipedia.org/wiki/Louis_II_de_Bourbon,_Prince_de_Cond%C3%A9",SP NETHERLANDS ARMY,Spain,MELLO,http://en.wikipedia.org/wiki/Francisco_de_Melo
Battle_of_Tuttlingen,14,THIRTY YEAR'S WAR,Thirty Years' War of 1618-1648,,TUTTLINGEN,IMP ARMY,Holy Roman Empire,B,MERCY,http://en.wikipedia.org/wiki/Franz_von_Mercy,FR ARMY OF GERMANY,France,RANTZAU,
Battle_of_Freiburg,15,THIRTY YEAR'S WAR,Thirty Years' War of 1618-1648,,FREIBURG,FR ARMY,France,A,CONDE & TURENNE,"http://en.wikipedia.org/wiki/Louis_II_de_Bourbon,_Prince_de_Cond%C3%A9 http://en.wikipedia.org/wiki/Henri_de_la_Tour_d%27Auvergne,_Vicomte_de_Turenne",IMP ARMY,Holy Roman Empire,MERCY,http://en.wikipedia.org/wiki/Franz_von_Mercy
Battle_of_Jankau,16,THIRTY YEAR'S WAR,Thirty Years' War of 1618-1648,,JANKAU,IMP ARMY,Holy Roman Empire,B,HATZFELD,?,SW ARMY,Sweden,TORSTENSSON,http://en.wikipedia.org/wiki/Lennart_Torstenson
Battle_of_Herbsthausen,17,THIRTY YEAR'S WAR,Thirty Years' War of 1618-1648,,MERGENTHEIM,IMP ARMY,Holy Roman Empire,B,MERCY & WERTH,http://en.wikipedia.org/wiki/Franz_von_Mercy,FR ARMY,France,TURENNE,"http://en.wikipedia.org/wiki/Henri_de_la_Tour_d%27Auvergne,_Vicomte_de_Turenne"
