 ,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,T,T, ,,,,,,C,,PERS,,,,C,,PERS,,,,,,,,CLOSE,,,,,,,,,CLOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,R,R,R,,,,,,,R,R,R,S,S,C,C,S,S,C,C,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
I,,,,,,,,,1ST,1ST,,,,,2ND,2ND,,,,,3D,3D,,,,,O,P,P,,  ,,E,E, ,,,,,TOTAL,O,INIT,REINF,,FINAL,TOTAL,O,INIT,REINF,,FINAL,,,,MAIN,NO.,AIR,,,,,,,MAIN,NO.,AIR,,,,C,L,T,M,L,M,I,T,I,,KM,,,,Q,R,M,A,F,W,T,L,P,S,M,L,F,,P,P,P,S,S,S,E,E,E,P,P,P,S,S,S,E,E,E,T,T,A,A,T,T,A,A,,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
S,,,,,,,,,WIDTH,WIDTH,,,,,WIDTH,WIDTH,,,,,WIDTH,WIDTH,,,,,S,O,O,F,D,,R,R,,,,S,A,PERS,D,PERS,&,PERS,PERS,PERS,D,PERS,&,PERS,PERS,HORSE,TOT,LITE,BTTL,ARTY,SPT,ARMR,ARTY,ACFT,HORSE,TOT,LITE,BTTL,ARTY,SPT,ARMR,ARTY,ACFT,E,E,R,O,O,O,N,E,N,W,DIST,A,A,C,U,E,O,I,P,X,E,E,L,U,A,O,O,D,R,R,R,E,E,E,S,S,S,R,R,R,E,E,E,S,S,S,R,R,S,S,R,R,S,S,N,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
E,,,,,,,,,FRONT,FRONT,1ST,1ST,1ST,1ST,FRONT,FRONT,2ND,2ND,2ND,2ND,FRONT,FRONT,3D,3D,3D,3D,T,S,S,R,E,T,R,R,     WEATHER,,,U,E,STR,E,STR,REPL,CAS,STR,STR,E,STR,REPL,CAS,STR,CAV,TANK,TANK,TANK,TUBE,SORTS,LOSS,LOSS,LOSS,CAV,TANK,TANK,TANK,TUBE,SORTS,LOSS,LOSS,LOSS,A,A,N,R,G,M,T,C,I,I,ADV'D,C,C,R,A,S,B,R,R,A,R,A,A,R,N,G,R,E,I,I,I,C,C,C,O,O,O,I,I,I,C,C,C,O,O,O,A,A,A,A,D,D,D,D,O,B,B,B,B,E,E,E,E,B,B,B,B,E,E,E,E,B,B,B,B,E,E,E,E,B,B,B,B,E,E,E,E,B,B,B,B,E,E,E,E,B,B,B,B,E,E,E,E,B,B,B,B,E,E,E,E,B,B,B,B,E,E,E,E,B,B,B,B,E,E,E,E,B,B,B,B,E,E,E,E
Q,,,,,DESIGNATION OR NAME,,DESIGNATION OR NAME,,ATK,DEF,YEAR,MO,DA,HOUR,ATK,DEF,YEAR,MO,DA,HOUR,ATK,DEF,YEAR,MO,DA,HOUR,Y,T,T,O,P,I,A,A,-,-,-----,R,R,ATK, ,ATK,ATK,ATK,ATK,DEF, ,DEF,DEF,DEF,DEF,ATK,ATK,ATK,ATK,ATK,ATK,ATK,ATK,ATK,DEF,DEF,DEF,DEF,DEF,DEF,DEF,DEF,DEF,,D,G,A,S,N,E,H,T,N,ATK,H,H,I,L,A,I,A,E,,R,D,N,P,A,S,T,E,A,A,A,A,A,A,A,A,A,D,D,D,D,D,D,D,D,D, , , , , , , , ,A,Y,M,D,H,Y,M,D,H,Y,M,D,H,Y,M,D,H,Y,M,D,H,Y,M,D,H,Y,M,D,H,Y,M,D,H,Y,M,D,H,Y,M,D,H,Y,M,D,H,Y,M,D,H,Y,M,D,H,Y,M,D,H,Y,M,D,H,Y,M,D,H,Y,M,D,H,Y,M,D,H,Y,M,D,H,Y,M,D,H
N,WAR NAME,ENGAGEMENT NAME,LOCATION,CAMPAIGN,OF THE ATTACKING FORCE,ATTACKING FORCE COMMANDER,OF THE DEFENDING FORCE,DEFENDING FORCE COMMANDER, , ,,,,, , ,,,,, , ,,,,,P, , ,N,T,M, , , ,,,P,O,,A,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,A,A,L,A,T,L,A,A,A,  ,A,D,T,A,,L,,P,,A,A,A,A,,A,S,P, , , ,,,,,,,,,,,,,,,,P,M,P,M,P,M,P,M,T,R,N,A,R,R,N,A,R,R,N,A,R,R,N,A,R,R,N,A,R,R,N,A,R,R,N,A,R,R,N,A,R,R,N,A,R,R,N,A,R,R,N,A,R,R,N,A,R,R,N,A,R,R,N,A,R,R,N,A,R,R,N,A,R,R,N,A,R,R,N,A,R,R,N,A,R,R,N,A,R
O,WAR,NAME,LOCN,CAMPGN,NAMA,COA,NAMD,COD,WOFA1,WOFD1,YR1,MO1,DA1,HR1,WOFA2,WOFD2,YR2,MO2,DA2,HR2,WOFA3,WOFD3,YR3,MO3,DA3,HR3,E,1,2,T,H,E,1,2,WX1,WX2,WX3,A,A,STRA,,INTSTA,RERPA,CASA,FINSTA,STRD,,INTSTD,RERPD,CASD,FINSTD,CAVA,TANKA,LTA,MBTA,ARTYA,FLYA,CTANKA,CARTYA,CFLYA,CAVD,TANKD,LTD,MBTD,ARTYD,FLYD,CTANKD,CARTYD,CFLYD,,,,A,,A,A,,,,KMDA,,,,,,A,,A,,,A,,A,,A,A,A,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,L,I,L,I,L,I,L,I,P,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10
---,---------------------------------------,------------------------------------------,--------------------,---------------------------------------,---------------------------------------,-----------------------------,---------------------------------------,----------------------------------------,----,----,----,--,--,----,----,----,----,--,--,----,----,----,----,--,--,----,-,--,--,-,-,-,---,---,-----,-----,-----,--,--,-------,-,-------,------,------,-------,-------,-,-------,------,------,-------,-----,----,----,----,-----,-----,-----,-----,----,-----,----,----,----,-----,-----,-----,-----,----,--,--,--,--,--,--,--,--,--,--,-----,-,-,-,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,---,---,---,---,---,---,---,---,--,----,--,--,----,----,--,--,----,----,--,--,----,----,--,--,----,----,--,--,----,----,--,--,----,----,--,--,----,----,--,--,----,----,--,--,----,----,--,--,----,----,--,--,----,----,--,--,----,----,--,--,----,----,--,--,----,----,--,--,----,----,--,--,----,----,--,--,----,----,--,--,----,----,--,--,----,----,--,--,----
225,FRANCO-PRUSSIAN WAR,SEDAN,FRANCE,SEDAN,GER 2ND & 3RD ARMIES,MOLTKE,FR ARMY OF ALSACE,MACMAHON (WIMPFEN),13,13,9999,99,99,9999,-1,-1,9999,99,99,9999,-1,-1,9999,99,99,9999,0,HD,OO,0,0,0,RM0,000,DSTFT,00000,00000,0,0,200000,1,200000,0,9000,191000,120000,1,120000,0,38000,82000,24000,0,0,0,701,0,0,0,0,12000,0,0,0,564,0,0,-1,0,0,2,0,0,1,1,0,0,1,1,0.8,9,3,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,FF,DE,00,00,00,00,BB,00,00,DO,FF,00,00,00,00,AA,00,00,0,-17,5,-5,0,-15,5,-5,1,1870,09,01,0400,1870,09,01,1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,FRANCO-PRUSSIAN WAR,COULMIERS,FRANCE,ORLEANS,FR ARMY OF THE LOIRE,AURELLE,BAV I CORPS,VON DER TANN,10,10,9999,99,99,9999,-1,-1,9999,99,99,9999,-1,-1,9999,99,99,9999,0,HD,OO,0,0,0,RM0,000,WLCFT,00000,00000,0,0,60000,1,60000,0,1800,58200,20000,1,20000,0,1800,18200,-1,0,0,0,150,0,0,0,0,5000,0,0,0,100,0,0,2,0,0,0,-1,0,0,0,1,0,1,1,3.2,6,4,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,FF,EE,RF,00,00,00,BB,00,00,DD,00,00,00,00,00,WD,00,00,17,0,0,-33,18,-5,0,-30,1,1870,11,09,0900,1870,11,09,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,FRANCO-PRUSSIAN WAR,ORLEANS,FRANCE,ORLEANS,GER 2ND ARMY,FRIEDRICH KARL,FR ARMY OF THE LOIRE,AURELLE,60,60,9999,99,99,9999,-1,-1,9999,99,99,9999,-1,-1,9999,99,99,9999,0,HD,OO,0,0,0,RM0,000,WHCWT,00000,00000,0,0,86000,1,86000,0,6300,79700,116000,1,116000,0,28000,88000,14800,0,0,0,459,0,0,-1,0,16000,0,0,0,432,0,0,83,0,2,0,2,0,0,0,0,0,1,1,24,7,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,FF,00,00,00,00,00,BB,PS,00,DD,00,00,00,00,00,WD,00,00,15,-15,5,-5,38,-45,5,-5,1,1870,12,02,9999,1870,12,04,9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
