,isqno,attacker,war,battle,name,cdb13_actors,commanders,uri
1,1,0,NETHERLAND'S WAR OF INDEPENDENCE,NIEUPORT,DU ARMY OF THE STATES GENERAL,Dutch Republic,MAURICE OF NASSAU,http://en.wikipedia.org/wiki/Maurits_of_Nassau
2,1,1,NETHERLAND'S WAR OF INDEPENDENCE,NIEUPORT,SP NETHERLANDS ARMY,Spain,ALBERT OF AUSTRIA,http://en.wikipedia.org/wiki/Archduke_Albert_(1559-1621)
3,2,0,THIRTY YEAR'S WAR,WHITE MOUNTAIN,BOH REB ARMY,Bohemia,CHRISTIAN OF ANHALT-BERNBERG,http://en.wikipedia.org/wiki/Christian_of_Anhalt
4,2,1,THIRTY YEAR'S WAR,WHITE MOUNTAIN,IMP & HOLY LEAGUE ARMY,Holy Roman Empire,BUCQUOI,"http://en.wikipedia.org/wiki/Charles_Bonaventure_de_Longueval,_Count_of_Bucquoy"
5,3,0,THIRTY YEAR'S WAR,WIMPFEN,PROT UNION ARMY,Protestant Union,BADEN-DURLACH,http://en.wikipedia.org/wiki/Georg_Friedrich_of_Baden-Durlach
6,3,1,THIRTY YEAR'S WAR,WIMPFEN,HOLY LEAGUE & SP ARMY,Holy Roman Empire & Spain,TILLY,"http://en.wikipedia.org/wiki/Johann_Tserclaes,_Count_of_Tilly"
7,3,1,THIRTY YEAR'S WAR,WIMPFEN,HOLY LEAGUE & SP ARMY,Holy Roman Empire & Spain,CORDOVA,http://en.wikipedia.org/wiki/Gonzalo_Fern%C3%A1ndez_de_C%C3%B3rdoba_(1585%E2%80%931645)
8,4,0,THIRTY YEAR'S WAR,DESSAU BRIDGE,IMP ARMY,Holy Roman Empire,WALLENSTEIN,http://en.wikipedia.org/wiki/Albrecht_von_Wallenstein
9,4,1,THIRTY YEAR'S WAR,DESSAU BRIDGE,PROT UNION ARMY,Protestant Union,MANSFIELD,http://en.wikipedia.org/wiki/Ernst_von_Mansfeld
10,5,0,THIRTY YEAR'S WAR,LUTTER,DAN ARMY,Denmark,CHRISTIAN IV,http://en.wikipedia.org/wiki/Christian_IV_of_Denmark
11,5,1,THIRTY YEAR'S WAR,LUTTER,HOLY LEAGUE ARMY,Holy Roman Empire,TILLY,"http://en.wikipedia.org/wiki/Johan_Tzerclaes,_Count_of_Tilly"
12,6,0,THIRTY YEAR'S WAR,BREITENFELD I,SW & SAX ARMY,Sweden,GUSTAVUS ADOLPHUS,http://en.wikipedia.org/wiki/Gustavus_Adolphus_of_Sweden
13,6,1,THIRTY YEAR'S WAR,BREITENFELD I,IMP & HOLY LEAGUE ARMY,Holy Roman Empire,TILLY,"http://en.wikipedia.org/wiki/Johan_Tzerclaes,_Count_of_Tilly"
14,7,0,THIRTY YEAR'S WAR,THE LECH,IMP ARMY,Holy Roman Empire,TILLY,"http://en.wikipedia.org/wiki/Johan_Tzerclaes,_Count_of_Tilly"
15,7,1,THIRTY YEAR'S WAR,THE LECH,SW ARMY,Sweden,GUSTAVUS ADOLPHUS,http://en.wikipedia.org/wiki/Gustavus_Adolphus_of_Sweden
16,8,0,THIRTY YEAR'S WAR,ALTE VESTE,IMP ARMY,Holy Roman Empire,WALLENSTEIN,http://en.wikipedia.org/wiki/Albrecht_von_Wallenstein
17,8,1,THIRTY YEAR'S WAR,ALTE VESTE,SW ARMY,Sweden,GUSTAVUS ADOLPHUS,http://en.wikipedia.org/wiki/Gustavus_Adolphus_of_Sweden
18,9,0,THIRTY YEAR'S WAR,LUETZEN,IMP ARMY,Holy Roman Empire,WALLENSTEIN,http://en.wikipedia.org/wiki/Albrecht_von_Wallenstein
19,9,1,THIRTY YEAR'S WAR,LUETZEN,SW ARMY,Sweden,GUSTAVUS ADOLPHUS,http://en.wikipedia.org/wiki/Gustavus_Adolphus_of_Sweden
20,10,0,THIRTY YEAR'S WAR,NORDLINGEN I,SP & IMP ARMY,Spain & Holy Roman Empire,CARDINAL-INFANTE,http://en.wikipedia.org/wiki/Cardinal-Infante_Ferdinand
21,10,0,THIRTY YEAR'S WAR,NORDLINGEN I,SP & IMP ARMY,Spain & Holy Roman Empire,FERDINAND,"http://en.wikipedia.org/wiki/Ferdinand_III,_Holy_Roman_Emperor"
22,10,1,THIRTY YEAR'S WAR,NORDLINGEN I,SW ARMY,Sweden,SAXE-WEIMAR,"http://en.wikipedia.org/wiki/Gustav_Horn,_Count_of_Pori"
23,10,1,THIRTY YEAR'S WAR,NORDLINGEN I,SW ARMY,Sweden,HORN,http://en.wikipedia.org/wiki/Bernhard_of_Saxe-Weimar
24,11,0,THIRTY YEAR'S WAR,WITTSTOCK,IMP & SAXON ARMY,Holy Roman Empire & Saxony,HATZFELD,?
25,11,0,THIRTY YEAR'S WAR,WITTSTOCK,IMP & SAXON ARMY,Holy Roman Empire & Saxony,JOHN GEORGE,"http://en.wikipedia.org/wiki/John_George_I,_Elector_of_Saxony"
26,11,1,THIRTY YEAR'S WAR,WITTSTOCK,SW ARMY,Sweden,BANER,http://en.wikipedia.org/wiki/Johan_Ban%C3%A9r
27,12,0,THIRTY YEAR'S WAR,BREITENFELD II,IMP ARMY,Holy Roman Empire,LEOPOLD WILLIAM,http://en.wikipedia.org/wiki/Archduke_Leopold_Wilhelm_of_Austria
28,12,1,THIRTY YEAR'S WAR,BREITENFELD II,SW ARMY,Sweden,TORTENSSON,http://en.wikipedia.org/wiki/Lennart_Torstenson
29,13,0,THIRTY YEAR'S WAR,ROCROI,SP NETHERLANDS ARMY,Spain,MELLO,http://en.wikipedia.org/wiki/Francisco_de_Melo
